LIPID,CLASS,CHAINS,OTHER,LIPID_NAME_CLEAN,QUANTIFIER,Q1,Q3,RT,Area_SPL,SB_ratio,Conc_SPL,CV_TQC,CV_BQC,CV_SPL,D_ratio,r.squared_1,r.squared_2,p.value_1,p.value_2
Cer d18:2/24:1,Cer,d18:2/24:1,NA,Cer d18:2/24:1,TRUE,646.7,262.4,5.666666667,55306.77302,1002.6254648753471,0.892623744799821,13.530080358515603,7.000396008683891,32.00801248745637,0.2366355796404223,0.99787403155734,0.9724931396237396,1.696105724141806e-6,2.86377824459054e-4
DG 14:0_16:0 [-14:0],DG,14:0_16:0,[-14:0],DG 14:0_16:0,FALSE,558.5,313.3,5.2,1273.751837,1.991155950512192,0.704878772880251,34.61351046830252,22.306293336968537,89.3081248504359,0.2659393382402251,0.9617525748516063,0.8330513685240706,5.557228428546903e-4,0.011095138944931093
DG 14:0_16:0 [-16:0],DG,14:0_16:0,[-16:0],DG 14:0_16:0,TRUE,558.5,285.2,5.2,1480.201181,2.4946017359515156,0.7261254744467471,32.85324784660266,23.564753285614227,87.45059913839812,0.28345762507408523,0.7646109088951368,0.8013453068596448,0.022665169592900603,0.01590532822959967
DG 14:0_16:1 [-14:0],DG,14:0_16:1,[-14:0],DG 14:0_16:1,FALSE,556.5,311.3,4.9,297.1756535,1.62359671242581,0.7387723079131933,97.31586463649596,86.27038744243025,148.15312720890816,0.5729175307614333,0.014328029742266558,0.352502137393765,0.8213079083319854,0.21406523485974313
DG 14:0_16:1 [-16:1],DG,14:0_16:1,[-16:1],DG 14:0_16:1,TRUE,556.5,285.2,4.916666667,520.1028728,0.7417860098283854,0.9693956672526423,96.66674086649346,55.68774484202502,123.96052675391853,0.3087370098918047,0.5813748996529091,0.3654791168658411,0.0779240413971154,0.2036519275300841
DG 14:0_18:0 [-14:0],DG,14:0_18:0,[-14:0],DG 14:0_18:0,FALSE,586.5,341.3,5.533333333,393.2126591,1.8443762795174237,0.8487981733061775,46.90255056257126,29.375945087906292,100.59284781961877,0.2788930219016491,0.9505318751256644,0.9110394267834808,9.33227876574275e-4,0.0030604310287109574
DG 14:0_18:0 [-18:0],DG,14:0_18:0,[-18:0],DG 14:0_18:0,TRUE,586.5,285.2,5.533333333,545.3945581,1.7137823222860522,0.8053065191859778,45.911142209252695,23.703593912224203,79.58034385960644,0.3121498436658131,0.9765999626390179,0.8847754220695345,2.0695869230744898e-4,0.005183423014403095
DG 14:0_18:1 [-14:0],DG,14:0_18:1,[-14:0],DG 14:0_18:1,TRUE,584.5,339.3,5.25,4282.89121,18.990411875048828,0.7137089619264195,38.91849709461781,13.970718760632842,90.73460273067342,0.16521786723420037,0.960593573932598,0.914973260190494,5.901481576500013e-4,0.002791815142848404
DG 14:0_18:1 [-18:1],DG,14:0_18:1,[-18:1],DG 14:0_18:1,FALSE,584.5,285.2,5.25,5927.754009,18.9545204228748,0.7021138002436955,39.027451963853196,14.595948592560093,83.50409525581026,0.18786477735511126,0.9738681114228124,0.9312601847535291,2.583423242456087e-4,0.0018141823008356586
DG 14:0_18:2 [-14:0],DG,14:0_18:2,[-14:0],DG 14:0_18:2,FALSE,582.5,337.3,4.983333333,2696.628673,913.3519983045393,0.7786229385088215,51.9448437676865,22.259282463379098,90.38968516495991,0.2544898447664474,0.5395282772394022,0.9648447218779845,0.09635991390108684,4.690010962687913e-4
